image,active,inactive,mature,nonmature
APS_2_17032016_10x.jpg,NA,x,NA,NA
APS_2_23032016_10x.jpg,NA,x,NA,NA
APS_2_01042016_20x.jpg,NA,x,NA,NA
APS_2_08042016_10x.jpg,NA,x,NA,NA
APS_2_16042016_10x.jpg,NA,x,NA,NA
APS_2_22042016_10x.jpg,NA,x,NA,NA
APS_2_06052016_20x.jpg,NA,x,NA,NA
APS_2_28052016_10x.jpg,NA,x,NA,NA
APS_1_17032016_10x.jpg,NA,x,NA,NA
APS_1_08042016_10x.jpg,NA,x,NA,NA
APS_1_16042016_10x.jpg,NA,x,NA,NA
APS_1_06052016_10x.jpg,NA,x,NA,NA
APS_1_03062016_10x.jpg,NA,X,NA,NA
APS_1_24062016_10x.jpg,x,NA,NA,x
FSY_1_23032016_20x.jpg,NA,x,NA,NA
FSY_1_01042016_20x.jpg,NA,x,NA,NA
FSY_1_06052016_20x.jpg,x,NA,NA,NA
FSY_1_24062016_10x.jpg,x,NA,NA,x
FSY_3_23032016_20x.jpg,NA,x,NA,NA
FSY_3_01042016_10x.jpg,NA,x,NA,NA
FSY_3_22042016_10x.jpg,NA,x,NA,NA
FSY_3_06052016_10x.jpg,NA,x,NA,NA
FSY_3_03062016_10x.jpg,x,NA,NA,x
FSY_3_11062016_10x.jpg,x,NA,NA,x
FSY_3_24062016_10x.jpg,x,NA,?,NA
FSY_2_08042016_10x.jpg,NA,x,NA,NA
FSY_2_12042016_10x.jpg,NA,x,NA,NA
FSY_2_29042016_10x.jpg,NA,x,NA,NA
FSY_2_13052016_10x.jpg,x,NA,NA,x
FSY_2_03062016_10x.jpg,x,NA,NA,x
FSY_2_24062016_10x.jpg,x,NA,?,?
QRO_2_17032016_10x.jpg,NA,x,NA,NA
QRO_2_01042016_10x.jpg,NA,x,NA,NA
QRO_2_16042016_10x.jpg,x,NA,NA,x
QRO_2_22042016_10x.jpg,x,NA,NA,x
QRO_2_29042016_10x.jpg,x,NA,NA,x
QRO_2_06052016_10x.jpg,x,NA,NA,x
QRO_2_13052016_10x.jpg,x,NA,NA,x
QRO_1_17032016_10x.jpg,NA,x,NA,NA
QRO_1_23032016_10x.jpg,NA,x,NA,NA
QRO_1_01042016_10x.jpg,x,NA,NA,x
QRO_1_08042016_20x.jpg,x,NA,NA,x
QRO_1_13052016_10x.jpg,x,NA,NA,x
QRO_1_03062016_10x.jpg,x,NA,NA,x
QRO_1_11062016_10x.jpg,x,NA,NA,x
QRO_1_24062016_10x.jpg,x,NA,NA,x
QRO_3_17032016_10x.jpg,NA,x,NA,NA
QRO_3_23032016_10x.jpg,NA,x,NA,NA
QRO_3_01042016_10x.jpg,?,?,NA,NA
QRO_3_08042016_10x.jpg,NA,x,NA,NA
QRO_3_16042016_10x.jpg,NA,x,NA,NA
QRO_3_22042016_10x.jpg,x,NA,NA,x
QRO_3_29042016_10x.jpg,x,NA,NA,x
QRO_3_06052016_10x.jpg,x,NA,NA,x
QRO_3_03062016_10x.jpg,x,NA,NA,x
QRO_3_11062016_10x.jpg,x,NA,NA,x
QRO_3_24062016_10x.jpg,x,NA,NA,x
